ds,job_id,actor_id,event,language,time_spent,org
11/30/2020,21,1001,skip,English,15,A
11/30/2020,22,1006,transfer,Arabic,25,B
11/29/2020,23,1003,decision,Persian,20,C
11/28/2020,23,1005,transfer,Persian,22,D
11/28/2020,25,1002,decision,Hindi,11,B
11/27/2020,11,1007,decision,French,104,D
11/26/2020,23,1004,skip,Persian,56,A
11/25/2020,20,1003,transfer,Italian,45,C
11/13/2020,536,1929,decision,Spanish,11,E
11/22/2020,313,1526,transfer,Portuguese,39,B
11/30/2020,101,1299,decision,German,8,D
11/09/2020,411,1658,transfer,Russian,44,E
11/22/2020,100,1680,decision,Chinese,53,E
11/15/2020,429,1114,transfer,Portuguese,57,D
11/29/2020,114,1935,skip,Arabic,16,F
11/19/2020,803,1748,skip,Arabic,36,C
11/04/2020,112,1134,decision,Arabic,51,B
11/11/2020,382,1849,skip,Portuguese,41,B
11/18/2020,567,1343,transfer,Hindi,60,E
11/27/2020,648,1965,skip,French,37,B
11/25/2020,578,1979,skip,Spanish,28,C
11/03/2020,320,1134,decision,Russian,23,A
11/25/2020,434,1964,decision,French,7,A
11/27/2020,314,1733,transfer,Spanish,42,E
11/29/2020,673,1002,decision,Persian,39,D
11/20/2020,416,1966,transfer,English,26,B
11/28/2020,328,1490,transfer,Arabic,33,A
11/03/2020,191,1154,transfer,English,33,F
11/14/2020,953,1887,transfer,Portuguese,24,B
12/01/2020,839,1285,transfer,Chinese,55,C
11/08/2020,348,1237,transfer,English,20,C
11/06/2020,665,1402,decision,French,44,C
11/15/2020,945,1515,transfer,Chinese,7,F
11/28/2020,324,1408,skip,Hindi,28,B
11/21/2020,576,1771,decision,German,6,E
11/09/2020,618,1049,skip,Arabic,15,E
11/26/2020,952,1637,decision,Spanish,8,A
11/05/2020,234,1696,decision,Russian,36,C
11/30/2020,844,1843,skip,German,26,E
11/12/2020,987,1473,skip,Chinese,11,B
11/23/2020,237,1198,skip,Portuguese,34,F
11/23/2020,774,1777,decision,Portuguese,58,A
11/07/2020,215,1200,decision,German,11,C
11/18/2020,792,1298,transfer,Portuguese,22,B
12/01/2020,182,1898,transfer,Chinese,38,E
11/22/2020,605,1281,transfer,Hindi,25,A
11/23/2020,650,1947,skip,Portuguese,10,D
11/05/2020,664,1211,skip,Spanish,24,D
11/11/2020,362,1821,transfer,Persian,60,E
11/10/2020,353,1167,skip,English,55,F
11/12/2020,896,1859,skip,Portuguese,46,F
11/16/2020,500,1747,transfer,German,57,D
11/07/2020,764,1145,decision,Portuguese,57,B
11/26/2020,422,1742,skip,Persian,13,B
11/06/2020,387,1643,skip,Portuguese,48,F
11/23/2020,310,1087,transfer,Chinese,48,C
11/11/2020,323,1244,decision,German,52,A
11/26/2020,229,1461,skip,Russian,13,F
11/14/2020,192,1099,decision,French,12,D
11/09/2020,825,1253,skip,Russian,43,E
11/05/2020,380,1938,decision,Persian,32,F
11/12/2020,964,1945,skip,Persian,6,F
11/22/2020,394,1074,transfer,Arabic,26,F
11/29/2020,350,1625,transfer,Russian,52,A
12/01/2020,500,1631,skip,French,60,D
12/01/2020,383,1381,decision,Portuguese,18,F
11/09/2020,299,1685,decision,Arabic,26,C
11/08/2020,759,1396,skip,Russian,10,C
11/10/2020,319,1895,decision,Chinese,28,D
11/29/2020,115,1868,transfer,Portuguese,37,C
11/22/2020,703,1534,skip,Portuguese,5,A
11/10/2020,705,1581,decision,Russian,8,E
11/08/2020,290,1676,skip,Chinese,9,B
11/08/2020,296,1169,transfer,Arabic,13,D
11/03/2020,563,1687,skip,Persian,46,A
11/19/2020,882,1805,decision,German,42,E
11/13/2020,755,1401,transfer,Hindi,33,A
11/16/2020,332,1567,transfer,Spanish,19,F
11/19/2020,279,1165,transfer,French,19,D
11/20/2020,403,1075,transfer,Chinese,43,C
11/07/2020,821,1145,skip,Arabic,58,E
11/11/2020,750,1751,transfer,Hindi,6,B
11/05/2020,649,1462,transfer,English,38,F
11/18/2020,739,1433,decision,Portuguese,54,D
11/08/2020,149,1462,skip,French,20,D
11/21/2020,927,1608,skip,Persian,44,E
11/12/2020,957,1743,skip,Portuguese,16,B
11/15/2020,689,1665,skip,Persian,14,B
11/06/2020,881,1284,skip,English,39,A
11/04/2020,572,1206,skip,Persian,24,E
11/28/2020,569,1837,transfer,Russian,18,E
11/29/2020,870,1640,decision,French,56,E
11/09/2020,879,1879,decision,English,32,D
11/28/2020,778,1131,transfer,Hindi,7,F
11/06/2020,863,1554,skip,Arabic,22,F
11/30/2020,693,1359,decision,French,15,B
11/21/2020,772,1558,transfer,German,29,F
11/10/2020,209,1611,transfer,Spanish,10,A
11/07/2020,293,1014,transfer,French,20,F
11/21/2020,920,1658,transfer,Arabic,43,C
11/24/2020,260,1940,decision,Persian,58,F
11/18/2020,468,1292,decision,Chinese,53,B
11/04/2020,467,1385,skip,Portuguese,42,A
11/29/2020,804,1201,skip,Chinese,5,B
11/01/2020,750,1418,transfer,Spanish,24,F
11/22/2020,525,1843,skip,Persian,5,F
11/09/2020,701,1206,skip,English,19,F
11/13/2020,333,1963,decision,French,25,A
11/21/2020,669,1214,decision,Russian,51,F
11/24/2020,363,1157,transfer,Portuguese,13,E
11/17/2020,836,1774,decision,Arabic,41,D
11/15/2020,893,1581,decision,Arabic,24,B
11/14/2020,189,1629,skip,Persian,10,F
11/10/2020,196,1830,skip,German,9,C
11/09/2020,669,1032,transfer,Portuguese,54,A
11/24/2020,590,1438,decision,French,35,B
11/29/2020,326,1801,decision,Arabic,14,E
11/28/2020,190,1124,decision,Persian,33,E
11/08/2020,867,1371,decision,Persian,9,E
11/05/2020,855,1857,transfer,Portuguese,48,B
11/18/2020,645,1369,transfer,Spanish,25,A
11/11/2020,477,1767,transfer,German,47,C
11/29/2020,664,1791,decision,English,51,A
11/27/2020,845,1064,decision,Portuguese,18,E
11/03/2020,722,1977,skip,Persian,5,A
11/17/2020,703,1975,decision,Portuguese,6,B
11/11/2020,178,1468,decision,Chinese,28,A
11/26/2020,258,1486,decision,Hindi,18,C
11/27/2020,609,1200,transfer,Russian,59,B
11/13/2020,324,1591,transfer,Spanish,23,C
11/25/2020,304,1028,skip,French,50,F
